country,costs,stability,sust_dev,decarb,risks,governance,env_regul,in_pot,int_coop
Russia,3.803752,-0.738171,0.1298854,-0.3518361,0.1387548,-0.584641,0.2196474,0.2640921,-0.5778032
Saudi Arabia,-0.3338582,-0.0663295,0.2527786,-1.142999,1.729995,-0.0569873,-0.2467121,-0.2043718,-0.5778032
Senegal,0.07696,1.031808,-0.3492544,-0.1491781,-0.3149225,-0.3258178,-0.1130805,-0.8867801,0.4574821
Sierra Leone,0.2097846,-0.8500139,-1.379707,-0.3588104,-0.0600905,-0.9160528,-0.4822534,-0.8867801,0.4574821
Singapore,-0.0972846,0.616344,0.3874173,-0.9331001,0.2570193,1.766377,-0.9247237,-0.080523,-0.5778032
Vietnam,-0.0734851,-0.6914208,1.273299,0.4530767,-0.4009444,-0.3874672,0.1541825,-0.2756555,-0.5778032
Slovenia,0.2058992,1.186608,0.3199483,0.5841026,-0.1028521,0.7403023,0.4983843,0.2636712,-0.5778032
Somalia,-0.50372,-1.17445,-1.046893,-1.514212,-0.2391061,-0.7096275,-1.56116,-0.601017,0.4574821
South Africa,-0.0397842,-0.6259425,0.0146151,-1.184261,-0.2303443,0.0960485,0.6765604,-0.3800317,1.885298
Spain,0.2310237,1.272749,0.9291596,0.5513464,-0.1106191,0.8609374,0.8149151,0.8978516,-0.5778032
Sudan,-0.5146922,-1.09374,-0.974771,1.205925,-0.223863,-1.611163,-0.4046403,-0.707818,0.4574821
Sweden,1.534785,1.459852,0.9201508,1.051086,0.2654883,1.394433,0.3897239,1.44689,-0.5778032
Syria,-0.2285169,-0.9246842,0.0343413,-0.5822184,-0.0714037,-0.5512108,0.0776599,-0.2043718,-0.5778032
Thailand,-0.4038524,0.8251536,0.2744089,-0.3295946,-0.2645428,0.1287353,0.0326993,-0.1780893,-0.5778032
Togo,-0.1326919,0.7420737,-1.374496,1.142334,-0.2944809,-0.6845667,-1.049244,-0.8867801,-0.5778032
Trinidad & Tobago,-0.2307082,-0.572942,0.1930971,-1.644544,-0.4114349,0.2453403,-0.1551494,-0.2682278,-0.5778032
United Arab Emirates,-0.7067802,1.068641,0.7761735,-0.8149972,0.4363674,0.6031957,0.433594,-0.1555887,0.8500132
Tunisia,0.2997765,-0.6157421,0.2856877,-0.4641073,-0.2136238,-0.2296164,-0.0210246,-0.707818,1.885298
Turkey,-0.2743491,-0.8493545,0.6582653,0.0868364,-0.167596,0.0086631,0.5962453,0.0395437,0.8500132
Ukraine,0.6697747,-0.8990466,1.370621,0.2295806,0.7610258,-0.6920888,0.4140205,0.215309,0.8500132
Egypt,-0.3176414,-0.9059424,0.5163993,-0.449254,1.199389,-0.5338501,0.656987,-0.6590348,0.4574821
United Kingdom,2.233676,0.1365817,1.276959,0.2519373,-0.1638733,1.442757,1.082178,1.983504,-0.5778032
Tanzania,-0.5340615,-0.7566763,-1.590342,0.6583244,-0.2536355,-0.3281591,0.2317957,-0.601017,0.4574821
United States,0.2430872,0.3819926,0.6568767,0.0186233,-0.2081086,1.384932,-0.0661734,2.642536,-0.5778032
Uruguay,-0.3942637,-0.8016385,1.037289,0.99277,-0.4908271,0.5303786,0.6158188,-0.4011176,0.4574821
Venezuela,-0.2540078,-1.123592,0.158466,0.6812758,-0.291194,-2.324524,-0.5186984,-0.4011176,0.4574821
Yemen,-0.65417,-0.907767,0.014366,-0.3254732,0.3733712,-1.053571,-0.3803436,-0.2043718,-0.5778032
