country,costs,stability,sust_dev,decarb,risks,governance,env_regul,in_pot,int_coop
Pakistan,0.1979711,0.080446,0.3867895,0.6858204,0.0624398,0.5117456,0.5833333,0.1052288,0
Panama,0.2716112,0.2672634,0.6516363,0.7987914,0.0522081,0.7163587,0.8,0.1641384,0.5
Papua New Guinea,0.1662189,0.1123917,0.1613834,0.3260509,0.2759599,0.5596619,0.0666667,0.2677748,0
Peru,0.1935778,0.197976,0.5916131,0.742488,0.049142,0.717671,0.7066666,0.1727373,0.5
Philippines,0.173065,0.1838906,0.4684528,0.5231482,0.0063024,0.635532,0.7833334,0.1954249,0
Poland,0.5755576,0.3115177,0.7711217,0.4064066,0.083656,0.8023454,0.8266667,0.3437233,0
Portugal,0.4149113,0.5833409,0.780831,0.6855253,0.0669621,0.7996451,0.93,0.3308431,0
Timor-Leste,0.1206936,0.1229045,0.2426456,0,0.0244982,0.5852718,0.3587879,0.1954249,0
Qatar,0.1756677,0.6869324,0.6683483,0.0650175,0.5000338,0.7376869,0.6666667,0.2166033,0
Romania,0.3995245,0.197823,0.676347,0.6402545,0.0465042,0.7002336,0.8666667,0.3341079,0
Russia,0.9127026,0.090953,0.6427724,0.4700301,0.0942904,0.5353029,0.7633333,0.3437233,0
Saudi Arabia,0.2672304,0.2310147,0.6812505,0.2075556,0.2846664,0.6328408,0.6466666,0.2166033,0
Senegal,0.349932,0.4599481,0.4168629,0.5029639,0.0404615,0.6024612,0.6833333,0.0295505,0.5
Sierra Leone,0.3547435,0.0676366,0.1091641,0.4860458,0.0691723,0.4967046,0.5933334,0.0295505,0.5
Singapore,0.2409305,0.3733346,0.711803,0.283191,0.1088464,0.9772752,0.3466667,0.2338864,0
Vietnam,0.2432978,0.1006992,0.8580589,0.6865898,0.0302246,0.5757858,0.7566667,0.1954249,0
Slovenia,0.3538064,0.49222,0.6964998,0.7349309,0.06564,0.7975795,0.8443334,0.3404585,0
Somalia,0.217107,0,0.2151516,0.1270845,0.04957,0.4832062,0.1833333,0.1099022,0.5
South Africa,0.2690132,0.1143497,0.5911834,0.2246086,0.050653,0.6736692,0.9,0.1715299,1
Spain,0.4152778,0.5101781,0.8346806,0.7221845,0.0649337,0.8232712,0.9266667,0.4654585,0
Sudan,0.2233747,0.0168259,0.2834836,0.8999803,0.0514492,0.3459657,0.6033334,0.0792922,0.5
Sweden,0.6222778,0.5491843,0.8326372,0.8615613,0.1093328,0.9311092,0.81,0.651784,0
Syria,0.2885418,0.0520698,0.6198028,0.3826402,0.0696475,0.5206486,0.7321293,0.2166033,0
Thailand,0.2052966,0.4168661,0.6582758,0.4565493,0.0465293,0.6668547,0.7233334,0.2146557,0
Togo,0.2743109,0.399546,0.141018,0.8713089,0.0424197,0.5237324,0.3125,0.0295505,0
Trinidad & Tobago,0.2634394,0.125399,0.6677275,0.0749768,0.0289882,0.6942946,0.6755556,0.2028921,0
United Arab Emirates,0.1799365,0.4676269,0.7999804,0.3005394,0.1302632,0.7581158,0.8333333,0.2262187,0.5
Tunisia,0.4106591,0.1164763,0.6881388,0.4071311,0.0526646,0.601173,0.5833333,0.0792922,1
Turkey,0.2900155,0.0677741,0.7665251,0.583446,0.0581285,0.6580675,0.8666667,0.2646802,0.5
Ukraine,0.4042526,0.0574145,0.9280193,0.6357102,0.1689025,0.5241856,0.8166667,0.3341079,0.5
Egypt,0.2829468,0.0559769,0.7404698,0.421383,0.221326,0.5506838,0.8833333,0.0889076,0.5
United Kingdom,0.7269976,0.2733165,0.9135681,0.6357902,0.0585035,0.9264271,1,0.7575532,0
Tanzania,0.197743,0.0870951,0.0706098,0.7393402,0.0477844,0.5929579,0.7666667,0.1099022,0.5
United States,0.3656667,0.3244784,0.7729216,0.5670352,0.0532745,0.9066507,0.7075,0.892662,0
Uruguay,0.2215827,0.0777216,0.8589004,0.845651,0.0194326,0.7611788,0.8833333,0.1631219,0.5
Venezuela,0.2580608,0.0106025,0.6555877,0.7592953,0.0431794,0.2504767,0.5833333,0.1631219,0.5
Yemen,0.199853,0.0555966,0.5468311,0.4463568,0.1227417,0.445004,0.61,0.2166033,0
